zoomlevel,regionId,regionSize,algorithm,rate,delta,waypointCost,computionCost,mappingCost,renderingCost,quality,qualityCost
11,0,0.0625,1,5.0E-5,32,514,0,0,0,0.0,0
11,0,0.0625,1,5.0E-5,64,503,0,0,0,0.0,1
11,0,0.0625,1,1.0E-5,0,503,1,0,0,0.0,0
11,0,0.0625,1,1.0E-5,4,510,0,0,0,0.0,1
11,0,0.0625,1,1.0E-5,8,511,0,0,0,0.0,0
11,0,0.0625,1,1.0E-5,16,502,0,0,0,0.0,0
11,0,0.0625,1,1.0E-5,32,503,1,0,0,0.0,0
11,0,0.0625,1,1.0E-5,64,514,0,0,0,0.0,0
11,0,0.125,0,0.01,0,507,0,1,0,0.04278523489932886,1
11,0,0.125,0,0.005,0,514,0,0,0,0.040268456375838924,2
11,0,0.125,0,0.001,0,503,0,0,0,0.0,1
11,0,0.125,0,5.0E-4,0,502,0,0,0,0.0,2
11,0,0.125,0,1.0E-4,0,508,0,0,0,0.0,2
11,0,0.125,0,5.0E-5,0,510,0,0,0,0.0,1
11,0,0.125,0,1.0E-5,0,516,0,0,0,0.0,2
11,0,0.125,1,0.01,0,507,4,1,2,0.08640939597315436,1
11,0,0.125,1,0.01,4,505,9,1,1,0.23406040268456377,4
11,0,0.125,1,0.01,8,510,11,0,1,0.3187919463087248,6
11,0,0.125,1,0.01,16,510,28,1,0,0.5293624161073825,19
11,0,0.125,1,0.01,32,503,130,1,0,0.8045302013422819,111
11,0,0.125,1,0.01,64,511,466,0,1,1.0,457
11,0,0.125,1,0.005,0,515,3,0,0,0.07046979865771812,1
11,0,0.125,1,0.005,4,540,3,1,0,0.17953020134228187,2
11,0,0.125,1,0.005,8,501,6,0,0,0.23909395973154363,4
11,0,0.125,1,0.005,16,508,16,0,0,0.3800335570469799,25
11,0,0.125,1,0.005,32,522,61,0,0,0.660234899328859,66
11,0,0.125,1,0.005,64,517,252,0,1,1.0,250
11,0,0.125,1,0.001,0,517,2,0,0,0.0,1
11,0,0.125,1,0.001,4,503,1,0,0,0.0,1
11,0,0.125,1,0.001,8,517,3,0,0,0.0,1
11,0,0.125,1,0.001,16,502,3,0,0,0.0,1
11,0,0.125,1,0.001,32,507,2,0,0,0.0,1
11,0,0.125,1,0.001,64,514,3,0,0,0.0,1
11,0,0.125,1,5.0E-4,0,501,2,0,0,0.0,1
11,0,0.125,1,5.0E-4,4,503,3,0,0,0.0,1
11,0,0.125,1,5.0E-4,8,508,2,0,0,0.0,1
11,0,0.125,1,5.0E-4,16,510,2,0,0,0.0,1
11,0,0.125,1,5.0E-4,32,508,2,0,0,0.0,1
11,0,0.125,1,5.0E-4,64,501,2,0,0,0.0,2
11,0,0.125,1,1.0E-4,0,500,2,0,0,0.0,1
11,0,0.125,1,1.0E-4,4,503,2,0,0,0.0,1
11,0,0.125,1,1.0E-4,8,502,2,0,0,0.0,1
11,0,0.125,1,1.0E-4,16,502,3,0,0,0.0,1
11,0,0.125,1,1.0E-4,32,502,2,0,0,0.0,2
11,0,0.125,1,1.0E-4,64,510,2,0,0,0.0,2
11,0,0.125,1,5.0E-5,0,513,2,0,0,0.0,1
11,0,0.125,1,5.0E-5,4,505,2,0,0,0.0,2
11,0,0.125,1,5.0E-5,8,504,2,0,0,0.0,2
11,0,0.125,1,5.0E-5,16,502,2,0,0,0.0,1
11,0,0.125,1,5.0E-5,32,502,3,0,0,0.0,1
11,0,0.125,1,5.0E-5,64,503,2,0,0,0.0,1
11,0,0.125,1,1.0E-5,0,503,2,0,0,0.0,2
11,0,0.125,1,1.0E-5,4,510,2,0,0,0.0,1
11,0,0.125,1,1.0E-5,8,512,3,0,0,0.0,1
11,0,0.125,1,1.0E-5,16,506,2,0,0,0.0,1
11,0,0.125,1,1.0E-5,32,502,2,0,0,0.0,2
11,0,0.125,1,1.0E-5,64,506,2,0,0,0.0,1
11,0,0.25,0,0.01,0,506,0,0,1,0.054817275747508304,16
11,0,0.25,0,0.005,0,504,0,0,1,0.032059800664451826,15
11,0,0.25,0,0.001,0,509,0,0,0,0.0038205980066445184,15
11,0,0.25,0,5.0E-4,0,512,0,0,0,0.004152823920265781,15
11,0,0.25,0,1.0E-4,0,508,0,0,0,0.0,16
11,0,0.25,0,5.0E-5,0,503,0,0,0,0.0,16
11,0,0.25,0,1.0E-5,0,504,0,0,0,0.0,16
11,0,0.25,1,0.01,0,507,48,3,14,0.14601328903654484,18
11,0,0.25,1,0.01,4,523,70,2,3,0.3975083056478405,33
11,0,0.25,1,0.01,8,522,133,3,4,0.5096345514950166,73
11,0,0.25,1,0.01,16,539,354,2,3,0.6669435215946844,254
11,0,0.25,1,0.01,32,513,1155,2,3,0.958139534883721,1402
11,0,0.25,1,0.01,64,526,4229,2,2,1.0,5355
11,0,0.25,1,0.005,0,524,40,1,2,0.10880398671096346,18
11,0,0.25,1,0.005,4,529,55,1,2,0.3292358803986711,27
11,0,0.25,1,0.005,8,521,90,1,2,0.43388704318936877,49
11,0,0.25,1,0.005,16,504,218,1,2,0.5853820598006645,159
11,0,0.25,1,0.005,32,512,725,2,1,0.8078073089700997,959
11,0,0.25,1,0.005,64,518,2790,1,1,0.9822259136212624,3716
11,0,0.25,1,0.001,0,524,38,0,1,0.009302325581395349,17
11,0,0.25,1,0.001,4,522,41,0,0,0.04451827242524917,19
11,0,0.25,1,0.001,8,520,46,1,0,0.0739202657807309,24
11,0,0.25,1,0.001,16,534,91,1,0,0.11162790697674418,52
11,0,0.25,1,0.001,32,578,245,0,0,0.5664451827242525,303
11,0,0.25,1,0.001,64,508,962,0,1,0.9460132890365448,1246
11,0,0.25,1,5.0E-4,0,638,33,1,0,0.005481727574750831,16
11,0,0.25,1,5.0E-4,4,591,35,1,0,0.040697674418604654,17
11,0,0.25,1,5.0E-4,8,534,39,0,1,0.07043189368770764,20
11,0,0.25,1,5.0E-4,16,609,52,0,0,0.10847176079734219,31
11,0,0.25,1,5.0E-4,32,520,126,0,0,0.1729235880398671,138
11,0,0.25,1,5.0E-4,64,548,467,0,0,0.34850498338870434,556
11,0,0.25,1,1.0E-4,0,520,32,0,0,0.0,16
11,0,0.25,1,1.0E-4,4,594,32,0,0,0.0,15
11,0,0.25,1,1.0E-4,8,580,37,0,0,0.0,18
11,0,0.25,1,1.0E-4,16,577,38,0,0,0.0,17
11,0,0.25,1,1.0E-4,32,604,32,0,0,0.0,16
11,0,0.25,1,1.0E-4,64,522,35,0,0,0.0,16
11,0,0.25,1,5.0E-5,0,518,31,0,0,0.0,16
11,0,0.25,1,5.0E-5,4,524,37,0,0,0.0,18
11,0,0.25,1,5.0E-5,8,638,38,0,0,0.0,17
11,0,0.25,1,5.0E-5,16,593,38,0,0,0.0,17
11,0,0.25,1,5.0E-5,32,583,39,0,0,0.0,17
11,0,0.25,1,5.0E-5,64,569,32,0,0,0.0,16
11,0,0.25,1,1.0E-5,0,513,39,0,0,0.0,19
11,0,0.25,1,1.0E-5,4,560,35,0,0,0.0,17
11,0,0.25,1,1.0E-5,8,512,34,0,0,0.0,17
11,0,0.25,1,1.0E-5,16,511,34,0,0,0.0,16
11,0,0.25,1,1.0E-5,32,506,32,0,0,0.0,15
11,0,0.25,1,1.0E-5,64,506,31,0,0,0.0,16
11,0,0.5,0,0.01,0,563,1,2,3,0.12986916993125877,280
11,0,0.5,0,0.005,0,559,2,0,2,0.07798063419321458,279
11,0,0.5,0,0.001,0,563,1,0,1,0.020659324414221303,277
11,0,0.5,0,5.0E-4,0,562,0,0,0,0.008315470470840417,278
11,0,0.5,0,1.0E-4,0,567,9,0,0,0.0021435434991499743,299
11,0,0.5,0,5.0E-5,0,589,1,0,0,0.0013674329218715353,326
11,0,0.5,0,1.0E-5,0,590,1,0,0,5.543646980560278E-4,289
11,0,0.5,1,0.01,0,572,1048,29,50,0.5255007761105773,361
11,0,0.5,1,0.01,4,575,1387,29,41,0.9259738339862518,538
11,0,0.5,1,0.01,8,567,2868,29,30,0.964964151082859,1066
11,0,0.5,1,0.01,16,578,5973,28,30,0.9817429226106882,3405
11,0,0.5,1,0.01,32,596,19173,27,29,0.9915366989430113,16173
11,0,0.5,1,0.01,64,575,70289,24,27,1.0,58786
11,0,0.5,1,0.005,0,574,782,20,20,0.3865769827777367,298
11,0,0.5,1,0.005,4,564,1085,20,21,0.867285091285387,443
11,0,0.5,1,0.005,8,564,1750,20,21,0.9327001256559982,840
11,0,0.5,1,0.005,16,577,4050,19,19,0.968770788676177,2363
11,0,0.5,1,0.005,32,572,13053,19,20,0.988173553108138,11633
11,0,0.5,1,0.005,64,566,47995,18,19,0.9985586517850543,42499
11,0,0.5,1,0.001,0,580,691,7,8,0.16209623771158252,289
11,0,0.5,1,0.001,4,563,794,7,8,0.5909897257742627,331
11,0,0.5,1,0.001,8,561,1089,7,8,0.7419617118781876,476
11,0,0.5,1,0.001,16,610,2028,7,8,0.8702786606548895,1050
11,0,0.5,1,0.001,32,570,5350,9,7,0.9615270899549117,5100
